Designator,Mid X,Mid Y,Rotation,Layer
BT1,121.4463,-57.15,0.0,bottom
D1,114.275,-71.6,270.0,top
D10,114.275,-128.6,270.0,top
D11,133.275,-128.6,270.0,top
D12,152.4,-128.6,270.0,top
D13,171.45,-71.5875,270.0,top
D14,171.45,-90.6375,270.0,top
D15,171.45,-109.6875,270.0,top
D16,171.275,-128.6,270.0,top
D2,133.275,-71.6,270.0,top
D3,152.275,-71.6,270.0,top
D4,114.275,-90.6,270.0,top
D5,133.275,-90.6,270.0,top
D6,152.275,-90.6,270.0,top
D7,114.275,-109.6,270.0,top
D8,133.275,-109.6,270.0,top
D9,152.275,-109.6,270.0,top
S1,104.14,-80.16,0.0,top
S10,104.14,-137.16,0.0,top
S11,123.14,-137.16,0.0,top
S12,142.14,-137.16,0.0,top
S13,161.14,-80.16,0.0,top
S14,161.14,-99.16,0.0,top
S15,161.14,-118.16,0.0,top
S16,161.14,-137.16,0.0,top
S2,123.14,-80.16,0.0,top
S3,142.14,-80.16,0.0,top
S4,104.14,-99.16,0.0,top
S5,123.14,-99.16,0.0,top
S6,142.14,-99.16,0.0,top
S7,104.14,-118.16,0.0,top
S8,123.14,-118.16,0.0,top
S9,142.14,-118.16,0.0,top
SW1,98.82395,-57.1138,90.0,bottom
U1,156.13385,-57.1512,90.0,bottom
